Date,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Czech Republic,Germany,Denmark,Euro area,Euro area (17 countries),Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,OECD - Total,Poland,Portugal,Russia,Slovak Republic,Slovenia,Sweden,Turkey,United States,South Africa
1975-01-01,43.2044233569385,NA,NA,33.07903178297,99.8268797380111,NA,NA,NA,142.17614543088,75.6781760308818,NA,85.8156651098278,40.0153442783149,NA,54.0736243214809,68.3569856459582,68.7221748046011,NA,NA,32.3217700600863,NA,NA,94.7952780738739,141.586114197802,NA,NA,NA,NA,NA,82.7054118701125,NA,44.5949821623032,88.3599001706362,NA,NA,NA,NA,NA,NA,NA,100.684492349406,NA
1975-04-01,43.0763213638727,NA,NA,33.9385055956954,94.7875359689785,NA,NA,NA,139.043828287833,77.5316784727804,NA,84.4422759155399,38.6094904455032,NA,52.9744636584841,68.0899373731081,63.7875183110127,NA,NA,33.6223865399212,NA,NA,91.7849287053935,138.457148219766,NA,NA,NA,NA,NA,87.4790331113826,NA,43.3375491651671,87.0689672302689,NA,NA,NA,NA,NA,NA,NA,100.338210419215,NA
1975-07-01,42.8329866357759,NA,NA,34.8576557877756,92.0329631647192,NA,NA,NA,137.733059248762,79.4994362862317,NA,83.4783864111415,37.1559441043544,NA,52.7945297262162,68.0946075768793,62.2792111899115,NA,NA,35.1378148090746,NA,NA,91.3548135308731,135.341936500637,NA,NA,NA,NA,NA,83.4102131405681,NA,42.6166550670935,85.866834207241,NA,NA,NA,NA,NA,NA,NA,98.7740946031106,NA
1975-10-01,42.5670560275041,NA,NA,35.1537612052131,89.8391794997279,NA,NA,NA,136.754938238629,75.6420242572693,NA,83.9145448147012,36.5358651292412,NA,53.2668459251476,68.2505362962924,61.0784240060477,NA,NA,36.3268544996351,NA,NA,93.4239262551208,133.650985663878,NA,NA,NA,NA,NA,88.1589476243944,NA,41.9297689728037,85.7424085215374,NA,NA,NA,NA,NA,NA,NA,98.8961431229156,NA
1976-01-01,42.6076142128403,NA,NA,35.6587926048451,87.813936910639,NA,NA,NA,135.958544523214,75.1830564129072,NA,84.8030769403685,37.0181762597241,NA,53.1594706950008,68.1812595832503,61.3890984886616,NA,NA,36.5595117404155,NA,NA,96.953612245922,131.203970417124,NA,NA,NA,NA,NA,92.0679018900177,NA,42.0749773579381,85.8499182542507,NA,NA,NA,NA,NA,NA,NA,98.8061555648779,NA
1976-04-01,42.1998501790345,NA,62.0316834374494,35.8970587890394,87.3607492546725,NA,NA,NA,134.781202280381,74.40318072546,NA,85.8475809643647,38.2126281281933,NA,53.6555170254381,68.6083779325913,61.7341575906559,NA,NA,34.8173559026609,NA,NA,100.859119757309,128.456065405524,NA,NA,NA,NA,NA,94.0228255692869,NA,41.7749973020814,86.597480759526,NA,NA,NA,NA,NA,NA,NA,100.635265155827,NA
1976-07-01,40.8210584013265,NA,63.3769310884961,35.8214523665552,83.7736099490465,NA,NA,NA,134.99866545491,74.2094908264009,NA,88.0122986141509,40.3827671546638,NA,54.1139533679109,69.3919055107348,61.005654247542,NA,NA,34.1042003259481,NA,NA,104.977938670259,126.096484771806,NA,NA,NA,NA,NA,103.483722713866,NA,41.6346309921003,86.8128286971829,NA,NA,NA,NA,NA,NA,NA,100.263656286405,NA
1976-10-01,41.190068316752,NA,65.1304706985314,36.0105028107951,86.5440355341274,NA,NA,NA,135.653466764426,74.3578307087832,NA,90.2308061438397,42.9727654170362,NA,53.7643339476983,70.3907153903089,59.2788876378575,NA,NA,38.2650102612533,NA,NA,108.293878430651,124.924502812182,NA,NA,NA,NA,NA,110.69063566493,NA,41.7588521001186,87.7292579324055,NA,NA,NA,NA,NA,NA,NA,101.441698703966,NA
1977-01-01,40.8030909254439,NA,64.5436901165398,35.579360552892,85.0076395419248,NA,NA,NA,136.592208140311,72.7973546703123,NA,92.6207840783246,45.4296644529119,NA,53.2847542448325,71.2315680301616,57.847626444771,NA,NA,35.9992057162351,NA,NA,113.769917320517,122.858892783384,NA,NA,NA,NA,NA,120.068700973196,NA,41.4539785387608,88.3309809965981,NA,NA,NA,NA,NA,NA,NA,102.211626134312,NA
1977-04-01,40.7340896810739,NA,65.536326714311,35.371497371109,86.0565430226061,NA,NA,NA,137.682456237423,75.2537965000715,NA,93.8861186138735,46.614659985503,NA,52.2860351608424,71.7706743762702,56.9227331948006,NA,NA,38.0288792486307,NA,NA,114.963961185223,121.186066646045,NA,NA,NA,NA,NA,126.749782103084,NA,40.7008638300881,88.942089175913,NA,NA,NA,NA,NA,NA,NA,103.601359357091,NA
1977-07-01,40.5232337103226,NA,66.5702676834424,35.2790694937097,86.6272138261472,NA,NA,NA,138.76473159821,76.3044049801449,NA,94.7988595822523,48.7981309155993,NA,50.6250270825559,72.4570831959187,57.5361221196748,NA,NA,40.6987786114516,NA,NA,112.690098093454,119.808141210389,NA,NA,NA,NA,NA,133.663558726321,NA,39.8079761472675,89.4564843680582,NA,NA,NA,NA,NA,NA,NA,104.508569103487,NA
1977-10-01,40.4646345806636,NA,69.5840234837029,35.1373489313013,85.737691417611,NA,NA,NA,139.769651184787,78.5500819254761,NA,95.6979294970905,50.8450157331713,NA,49.7707116570512,72.7829568356636,58.8456321955121,NA,NA,43.6943831468049,NA,NA,111.743382217712,119.105339320019,NA,NA,NA,NA,NA,135.758516881459,NA,38.8103658674489,90.3705714236254,NA,NA,NA,NA,NA,NA,NA,106.247891300251,NA
1978-01-01,40.3908943252873,NA,68.2495022057231,34.5291192569288,86.5646575727642,NA,NA,NA,141.194439022117,80.0365914784379,NA,97.0167050327862,53.8309337048867,NA,49.5949213328628,73.0242651443192,60.6183964212015,NA,NA,49.0848618090831,NA,NA,113.342881086717,118.570533084312,NA,NA,NA,NA,NA,135.272634036943,NA,38.0790755111547,91.0363220095003,NA,NA,NA,NA,NA,NA,NA,106.733533217872,NA
1978-04-01,39.2375239011767,NA,68.8703215255392,35.3133060821712,88.2923489491032,NA,NA,NA,142.753141680611,81.2905836627065,NA,99.0483143447121,56.271340411847,NA,49.9078131659191,73.3554234676677,62.39290465038,NA,NA,61.3524057114292,NA,NA,116.802510202036,117.741630232939,NA,NA,NA,NA,NA,139.630347125935,NA,37.6931536816416,91.9840229721521,NA,NA,NA,NA,NA,NA,NA,107.191606579918,NA
