Date,Australia,Austria,Belgium,Brazil,Canada,Switzerland,Chile,China (People's Republic of),Colombia,Czech Republic,Germany,Denmark,Euro area,Euro area (17 countries),Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,OECD - Total,Poland,Portugal,Russia,Slovak Republic,Slovenia,Sweden,Turkey,United States,South Africa
2002-04-01,59.7999870527193,76.2284152055575,70.4497373562371,NA,54.2888002259486,66.0574065609514,91.8996272387443,NA,51.224436146196,NA,98.3406124867306,76.7582917467476,91.9346540627363,90.8690595472994,95.384412106663,NA,75.7406588223817,66.9875733475385,72.300107879593,143.818399281591,NA,157.832033837754,NA,106.211246939522,NA,68.2107321586965,103.916488789306,118.54921913179,84.968786559251,NA,NA,NA,NA,114.126793211262,58.1881018543866,46.9966738331827,88.6771298022351,NA,136.676926763815,62.5057454418771,NA,NA,48.1332307625248,NA,93.5253072520756,55.8474519016851
2002-07-01,61.7762912473391,77.5912153596923,71.6110852659519,NA,54.926603701093,65.2054901551957,91.2873755640403,NA,51.3348175595899,NA,98.2498215767449,77.0208644656369,92.8910851450099,91.9677011495949,97.1993035743242,NA,76.8882236828715,68.7510736158191,76.3118793141957,144.461101580711,NA,155.79718458535,NA,107.657570584595,NA,65.7858613418445,105.634455914498,117.196208276323,86.879416297238,NA,NA,NA,NA,114.676435462708,58.1371923177318,48.5262462198506,89.8146501084531,NA,134.775309055257,64.3760486991791,NA,NA,49.475230395796,NA,94.8667148802212,56.43892030551
2002-10-01,63.2091180229087,76.3339682088125,72.9472737113241,NA,55.7165639665661,65.4294844352904,89.8835365883725,NA,49.4836537128179,NA,97.2592537902529,77.449633474783,93.5690395259607,92.9490695848576,100.592880027273,NA,78.726731324159,70.4072431907493,80.4822903175983,145.974160734211,NA,152.246560568569,NA,110.54729494924,NA,65.035746092284,107.514130878,115.584285002022,88.3962244998425,NA,NA,NA,NA,114.762528175696,57.7436356792645,50.3244636500965,90.9155453790165,NA,133.74774614493,66.0141052396603,NA,NA,50.1990002912443,NA,96.3173446727861,57.27260047827
2003-01-01,64.930917467523,75.8996708154561,73.0122234189097,NA,56.7003875663006,65.230714727104,89.6831103069478,NA,49.3713129495253,NA,96.0348953201157,77.0514008265763,93.9413958769358,93.7091771490347,104.813857450747,NA,78.8800468322186,71.6509454108296,82.9110483039895,147.966791438894,NA,151.421258133049,NA,113.761158157263,NA,63.7079749865615,108.90289709747,113.983508147517,88.7084096164489,NA,NA,NA,NA,114.959287559638,56.283394597399,52.5508598720785,91.6089146051127,NA,133.338946231034,67.2559647786375,NA,NA,50.080035131676,NA,97.3372011012935,59.2118662964042
2003-04-01,68.2020233461273,75.8644311799599,74.0286774201007,NA,57.666680665831,66.0669482721514,89.1020096072271,NA,49.0783591157635,NA,97.6417964458428,78.1422224657974,95.0983363805751,95.7517329164915,110.435443366505,NA,79.3883383110989,73.7120590547748,84.2864608313827,146.063535142451,NA,157.321177445725,NA,116.007065448905,NA,61.9567270800676,111.326726496493,112.476488490128,90.3865087129215,NA,NA,NA,NA,115.803257346137,56.769297475322,54.918780416280804,92.9448391916015,NA,132.498125369303,67.4311111482042,NA,NA,50.8729915938691,NA,98.8845746936469,61.494365682194
2003-07-01,71.9637724317153,74.2729714212602,75.1362700763486,NA,58.4246454435052,66.4486668605612,91.1978365933359,NA,48.784627369687,NA,96.4038303905759,78.8643882980946,95.9554499889723,96.6477342320455,113.697159918606,NA,81.3331736757612,75.5099421077258,85.2760691116252,146.246772378229,NA,151.96341536736,NA,118.550662829574,NA,62.8311088581546,113.738708869091,110.86000322382,91.5026533668594,NA,NA,NA,NA,115.402003256113,57.5904281013869,58.5441208753591,93.8332507832838,NA,132.236991690389,68.6074702737478,NA,NA,51.3186171139348,NA,100.214161892384,64.7137756109993
2003-10-01,73.931369785552,76.7913050220922,76.7337551079867,NA,59.8086968442255,66.2454628502997,91.447531359076,NA,49.9300315981051,NA,96.3613631136136,79.6750392178208,97.164511513099,98.3436370200177,118.304392305765,NA,82.9311871751427,77.7164984781987,87.3649279397813,146.81603033693,NA,156.18943332421,NA,122.306009582674,NA,62.9295240688124,115.95153466532,109.321628849808,91.5184277483222,NA,NA,NA,NA,116.76898688762,58.5294472338979,62.1381788300724,95.1356595557966,NA,131.981626626316,71.171967113599493,NA,NA,52.4294474974838,NA,102.027502332804,69.5088921997865
2004-01-01,74.0051343981002,69.9140407639202,77.6973135757218,NA,60.7901666039107,66.792332801784,92.8146719946393,NA,49.5684877739203,NA,96.2542199511761,81.2971025768911,98.0147547288092,99.6199643713109,122.630388039301,NA,85.2422990359788,80.3334807753566,89.085295065313,144.386770665613,NA,154.483764669795,NA,124.401132660752,NA,62.2500458710579,118.016043822655,107.546085026334,90.3422446893674,NA,NA,NA,NA,118.495053373974,60.9716700656746,64.1850898424311,96.0188695571316,NA,131.765581095664,73.8683321914957,NA,NA,53.6158194396776,NA,103.440035634778,72.0862140543514
2004-04-01,72.7252746941846,73.6370859045558,77.7942266643634,NA,61.4942458652655,67.5177144645189,92.3986716354379,NA,50.3306186406841,NA,94.1917646023355,83.1977623680063,99.1224103306928,100.377252779795,125.961435403235,NA,86.7603483977132,82.5452904400751,93.1135833799238,144.23989004764,NA,150.830289930464,NA,127.822158073939,NA,63.078933086145,119.773436726353,106.137139850174,89.3369945068191,NA,NA,NA,NA,118.557350733178,61.9803122004051,65.6483085229516,97.0458823194204,NA,130.602618677176,75.8940944553858,NA,NA,55.0067441806846,NA,105.311141704202,76.5860646492906
2004-07-01,72.4785706788473,73.4045443380863,79.8571293713858,NA,62.3742676071753,68.8033231896201,93.0608352262166,NA,49.7619374866414,NA,93.3321025918711,85.4641518629927,100.447975016094,101.558917808251,129.113014923306,NA,87.5491822417748,85.3262192671522,95.8491330009041,145.416805295449,NA,148.511790189889,NA,129.966131548204,NA,62.0436841450345,121.709481127841,104.799536399285,87.2648439244025,NA,NA,NA,NA,119.110272485977,62.7722372580304,67.2041081745579,98.2049787763932,NA,129.919271199726,77.6965653144136,NA,NA,55.9284201238568,NA,107.502276365591,82.3375605398649
